pos_2022,pos_2021,city,country,remote_jobs,overworked_population,minimum_vacations_offered,vacations_taken,unemployment,multiple_jobholders,inflation,paid_parental_leave,covid_impact,covid_support,healthcare,access_to_mental_healthcare,inclusivity_and_tolerance,affordability,happiness_culture_and_leisure,city_safety,outdoor_spaces,air_quality,wellness_and_fitness,total_score
1,2,Oslo,Norway,41.72,11.20,25,25,94.7,9.10,6.47,707,88.2,93,100,85,93.2,59.4,88.8,86.5,95.6,97.5,65.7,100
2,0,Bern,Switzerland,44.86,11.40,20,25,99.8,7.60,1.80,98,82.2,91.4,99.6,78.6,94.6,69.9,100,91.8,87.1,100,69.1,99.46
3,1,Helsinki,Finland,38.92,12.70,25,30,89.3,6.30,4.79,1190,85,99.7,96.7,73,93.9,65,96.3,94.9,86,97,68.3,99.24
4,3,Zurich,Switzerland,44.86,11.90,20,25,99.2,7.60,1.80,98,82,91.4,99.2,78.6,87.5,71.6,91.5,92.8,84,96.2,68.7,96.33
5,5,Copenhagen,Denmark,41.42,10.50,25,28,94.8,7.60,5.18,364,84.5,98.5,94.8,77.6,95.2,65.3,92.5,95.7,75.5,95.1,66.3,96.21
6,0,Geneva,Switzerland,44.86,11.90,20,25,95.2,7.60,1.80,98,79.2,91.4,99.1,78.6,94.4,70.7,100,85.4,92,96.8,67.7,95.82
7,6,Ottawa,Canada,37.81,10.10,10,16,95.8,5.60,6.46,364,78.5,87,96.7,92.4,93.5,70.7,81.4,84.8,97,99.2,68.7,95.51
8,10,Sydney,Australia,38.79,9.70,20,14,95.9,6.40,6.46,140,79.5,73.9,99,67.4,91.8,73.3,87.7,77.6,97.9,98,70.5,94.04
9,0,Stuttgart,Germany,36.73,11.70,20,26,95.2,4.80,6.26,466.9,74,91.5,93.8,82,91.6,79.3,85.5,78.7,90.8,95.8,67,93.79
10,7,Munich,Germany,36.73,11.90,20,26,95.6,4.80,6.26,466.9,74.6,91.5,95.4,82,92.8,71.1,87,88.5,78.4,95.8,67.6,93.65
11,4,Stockholm,Sweden,44.20,12.70,25,25,91,7.90,5.74,490,76,98.9,96,77.1,97.7,68.9,88.1,81.2,88.5,94.6,68.5,93.31
12,15,Melbourne,Australia,38.79,9.70,20,14,94.5,6.40,6.46,140,78.7,73.9,98.3,67.4,91.8,75.5,95.4,72.2,91.3,97.8,74.7,92.76
13,9,Amsterdam,Netherlands,41.55,8.60,20,24,95.4,8.10,8.55,114.8,76.4,90.8,95.6,85.1,92.8,67.8,86.3,84.2,75.7,94.4,67.7,92.62
